acc,ftp,organism_name,genetic_code
GCF_900016785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/016/785/GCF_900016785.1_BTsPazieg1.0,Buchnera aphidicola (Tuberolachnus salignus),11
GCF_900128595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/595/GCF_900128595.1_BCipseudotaxifoliae_v1.0,Buchnera aphidicola (Cinara pseudotaxifoliae),11
GCF_900128725.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/725/GCF_900128725.1_BCifornacula_v1.0,Buchnera aphidicola,11
GCF_900128735.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/735/GCF_900128735.1_BCiconfinis_v1.0,Buchnera aphidicola (Cinara confinis),11
GCF_000218545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/545/GCF_000218545.1_ASM21854v1,Cellulomonas gilvus ATCC 13127,11
GCF_000020965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/965/GCF_000020965.1_ASM2096v1,Dictyoglomus thermophilum H-6-12,11
GCF_000378225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/378/225/GCF_000378225.1_ASM37822v1,Methylophilus methylotrophus DSM 46235 = ATCC 53528,11
GCF_000012885.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1,Pelobacter carbinolicus DSM 2380,11
GCF_001375595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/375/595/GCF_001375595.1_Draft_genome_of_P._immobile_strain_E_DSM_1986_,Phenylobacterium immobile (ATCC 35973),11
GCF_000518705.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/518/705/GCF_000518705.1_ASM51870v1,Shewanella colwelliana ATCC 39565,11
GCF_000012685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/685/GCF_000012685.1_ASM1268v1,Myxococcus xanthus DK 1622,11
GCF_000219105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/105/GCF_000219105.1_ASM21910v1,Myxococcus macrosporus,11
GCF_000165485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1,Stigmatella aurantiaca DW4/3-1,11
GCF_000335475.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/475/GCF_000335475.2_ASM33547v2,Cystobacter fuscus DSM 2262,11
GCF_001027285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1,Archangium gephyra,11
GCF_000601485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/601/485/GCF_000601485.1_Chondromyces_apiculatus_DSM_436_genome_assembly,Chondromyces apiculatus DSM 436,11
GCF_001189295.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1,Chondromyces crocatus,11
GCF_000067165.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/067/165/GCF_000067165.1_ASM6716v1,Sorangium cellulosum So ce56,11
GCF_000382305.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/305/GCF_000382305.1_ASM38230v1,Vitreoscilla stercoraria DSM 513,11
GCF_002222655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1,Vitreoscilla filiformis,11
GCF_001442515.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/515/GCF_001442515.1_ASM144251v1,Lysobacter enzymogenes,11
GCF_000163775.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/775/GCF_000163775.2_Simo_muel_ATCC_29453_V2,Simonsiella muelleri ATCC 29453,11
GCF_000685215.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/215/GCF_000685215.1_SOAPdenovo_v1.05,Hyphomonas jannaschiana VP2,11
GCF_000427405.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/405/GCF_000427405.1_ASM42740v1,Flectobacillus major DSM 103,11
GCF_000222485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/485/GCF_000222485.1_ASM22248v1,Cyclobacterium marinum DSM 745,11
GCF_000218895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/895/GCF_000218895.1_ASM21889v1,Runella slithyformis DSM 19594,11
GCF_000171775.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/171/775/GCF_000171775.1_ASM17177v1,Gemmata obscuriglobus UQM 2246,11
GCF_000165715.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/715/GCF_000165715.2_ASM16571v3,Rubinisphaera brasiliensis DSM 5305,11
GCF_000092105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/105/GCF_000092105.1_ASM9210v1,Planctopirus limnophila DSM 3776,11
GCF_000181475.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/475/GCF_000181475.1_ASM18147v1,Gimesia maris DSM 8797,11
GCF_000153105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/105/GCF_000153105.1_ASM15310v1,Blastopirellula marina DSM 3645,11
GCF_000025185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/185/GCF_000025185.1_ASM2518v1,Pirellula staleyi DSM 6068,11
GCF_000186345.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/345/GCF_000186345.1_ASM18634v1,Isosphaera pallida ATCC 43644,11
GCF_000283235.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/235/GCF_000283235.1_MetPar_1.0,Methylocystis parvus OBBP,11
GCF_000008685.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/685/GCF_000008685.2_ASM868v2,Borreliella burgdorferi B31,11
GCF_001660005.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/005/GCF_001660005.1_ASM166000v1,Borrelia hermsii HS1,11
GCF_000012085.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/085/GCF_000012085.2_ASM1208v2,Borrelia turicatae 91E135,11
GCF_001936255.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/255/GCF_001936255.1_ASM193625v1,Borrelia anserina Es,11
GCF_000568755.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/568/755/GCF_000568755.1_ASM56875v1,Borrelia coriaceae Co53,11
GCF_000184345.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/345/GCF_000184345.1_ASM18434v2,Spirochaeta thermophila DSM 6578,11
GCF_000008185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/185/GCF_000008185.1_ASM818v1,Treponema denticola ATCC 35405,11
GCF_001676785.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/785/GCF_001676785.2_ASM167678v2,Brachyspira hyodysenteriae ATCC 27164,11
GCF_000604125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/604/125/GCF_000604125.1_ASM60412v1,Treponema pallidum subsp. pallidum str. Sea 81-4,11
GCF_000513775.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/775/GCF_000513775.1_ASM51377v1,Treponema phagedenis 4A,11
GCF_000421345.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/345/GCF_000421345.1_ASM42134v1,Treponema bryantii NK4A124,11
GCF_000255555.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/555/GCF_000255555.1_ASM25555v2,Treponema saccharophilum DSM 2985,11
GCF_000195275.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/275/GCF_000195275.1_ASM19527v1,Treponema succinifaciens DSM 2489,11
GCF_000017685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/685/GCF_000017685.1_ASM1768v1,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)',11
GCF_000092565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/565/GCF_000092565.1_ASM9256v1,Leptospira interrogans serovar Lai str. 56601,11
GCF_000013945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/945/GCF_000013945.1_ASM1394v1,Leptospira borgpetersenii serovar Hardjo-bovis str. L550,11
GCF_000284315.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/315/GCF_000284315.1_ASM28431v1,Leptospirillum ferrooxidans C2-3,11
GCF_000243335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/335/GCF_000243335.1_ASM24333v1,Leptonema illini DSM 21528,11
GCF_000381985.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/381/985/GCF_000381985.1_ASM38198v1,Novispirillum itersonii subsp. itersonii ATCC 12639,11
GCF_000420525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/525/GCF_000420525.1_ASM42052v1,Aquaspirillum serpens DSM 68,11
GCF_001315015.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/315/015/GCF_001315015.1_ASM131501v1,Azospirillum brasilense,11
GCF_900177475.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/177/475/GCF_900177475.1_IMG-taxon_2622736628_annotated_assembly,Azospirillum lipoferum,11
GCF_002024185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/185/GCF_002024185.1_ASM202418v1,Campylobacter coli,11
GCF_000009085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/085/GCF_000009085.1_ASM908v1,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,11
GCF_002179165.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/179/165/GCF_002179165.1_ASM217916v1,Campylobacter jejuni,11
GCF_001643955.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/643/955/GCF_001643955.1_ASM164395v1,Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260,11
GCF_001643975.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/643/975/GCF_001643975.1_ASM164397v1,Campylobacter hyointestinalis subsp. lawsonii,11
GCF_001298465.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/465/GCF_001298465.1_ASM129846v1,Campylobacter concisus,11
GCF_000017465.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/465/GCF_000017465.2_ASM1746v2,Campylobacter curvus 525.92,11
GCF_000019205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/205/GCF_000019205.1_ASM1920v1,Campylobacter lari RM2100,11
GCF_000313615.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/615/GCF_000313615.1_Velvet_assembly_of_Campylobacter_showae_CSUNSWCD,Campylobacter showae CSUNSWCD,11
GCF_002220735.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/735/GCF_002220735.1_ASM222073v1,Campylobacter sputorum bv. faecalis CCUG 20703,11
GCF_000008525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1,Helicobacter pylori 26695,11
GCF_000349975.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/975/GCF_000349975.1_ASM34997v1,Helicobacter cinaedi CCUG 18818 = ATCC BAA-847,11
GCF_000200595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/200/595/GCF_000200595.1_ASM20059v1,Helicobacter felis ATCC 49179,11
GCF_000509365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/509/365/GCF_000509365.1_ASM50936v1,Helicobacter fennelliae MRY12-0050,11
GCF_000765805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/765/805/GCF_000765805.1_ASM76580v1,Helicobacter muridarum,11
GCF_000091985.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/985/GCF_000091985.1_ASM9198v1,Helicobacter mustelae 12198,11
GCF_900176575.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/176/575/GCF_900176575.1_PRJEB20355,Planomicrobium okeanokoites,11
GCF_000757385.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/385/GCF_000757385.1_ASM75738v1,Flavobacterium aquatile LMG 4008 = ATCC 11947,11
GCF_000382425.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/425/GCF_000382425.1_ASM38242v1,Empedobacter brevis NBRC 14943 = ATCC 43319,11
GCF_000425585.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/425/585/GCF_000425585.1_ASM42558v1,Terrimonas ferruginea DSM 30193,11
GCF_000355905.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/355/905/GCF_000355905.1_Pgondw1.0,Psychroflexus gondwanensis ACAM 44,11
GCF_001295265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/295/265/GCF_001295265.1_ASM129526v1,Chryseobacterium indologenes,11
GCF_002025665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/665/GCF_002025665.1_ASM202566v1,Chryseobacterium indologenes,11
GCF_000243275.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/275/GCF_000243275.1_ASM24327v1,Myroides odoratus DSM 2801,11
GCF_000143765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/765/GCF_000143765.1_ASM14376v1,Sphingobacterium spiritivorum ATCC 33861,11
GCF_000686625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/686/625/GCF_000686625.1_ASM68662v1,Sphingobacterium thalpophilum DSM 11723,11
GCF_000008985.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/985/GCF_000008985.1_ASM898v1,Francisella tularensis subsp. tularensis SCHU S4,11
GCF_000203895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/895/GCF_000203895.1_ASM20389v1,Paracoccus denitrificans PD1222,11
GCF_001399775.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/775/GCF_001399775.1_ASM139977v1,Thermus aquaticus Y51MC23,11
GCF_000091545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/545/GCF_000091545.1_ASM9154v1,Thermus thermophilus HB8,11
GCF_000771745.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/771/745/GCF_000771745.2_THFILIv2,Thermus filiformis,11
GCF_000024425.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/425/GCF_000024425.1_ASM2442v1,Meiothermus ruber DSM 1279,11
GCF_000017645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/645/GCF_000017645.1_ASM1764v1,Xanthobacter autotrophicus Py2,11
GCF_000739375.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/375/GCF_000739375.1_ASM73937v1,Comamonas testosteroni TK102,11
GCF_000006765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1,Pseudomonas aeruginosa PAO1,11
GCF_000014225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/225/GCF_000014225.1_ASM1422v1,Pseudoalteromonas atlantica T6c,11
GCF_001411495.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/411/495/GCF_001411495.1_ASM141149v1,Burkholderia cepacia ATCC 25416,11
GCF_000237065.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/065/GCF_000237065.1_ASM23706v1,Pseudomonas fluorescens F113,11
GCF_000016565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/565/GCF_000016565.1_ASM1656v1,Pseudomonas mendocina ymp,11
GCF_000007565.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,Pseudomonas putida KT2440,11
GCF_000800615.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/800/615/GCF_000800615.1_PseuPA14H7,Pseudomonas putida,11
GCF_000009125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/125/GCF_000009125.1_ASM912v1,Ralstonia solanacearum GMI1000,11
GCF_000219605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/605/GCF_000219605.1_ASM21960v1,Pseudomonas stutzeri,11
GCF_000590475.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/475/GCF_000590475.1_ASM59047v1,Pseudomonas stutzeri,11
GCF_000012245.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/245/GCF_000012245.1_ASM1224v1,Pseudomonas syringae pv. syringae B728a,11
GCF_000020205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/205/GCF_000020205.1_ASM2020v1,Ralstonia pickettii 12J,11
GCF_000007145.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/145/GCF_000007145.1_ASM714v1,Xanthomonas campestris pv. campestris str. ATCC 33913,11
GCF_001021935.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/935/GCF_001021935.1_ASM102193v1,Xanthomonas translucens pv. undulosa,11
GCF_002218245.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/218/245/GCF_002218245.1_ASM221824v1,Xanthomonas citri pv. vignicola,11
GCF_000019585.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/585/GCF_000019585.2_ASM1958v2,Xanthomonas oryzae pv. oryzae PXO99A,11
GCF_000817975.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/975/GCF_000817975.1_ASM81797v1,Azotobacter chroococcum NCIMB 8003,11
GCF_000380335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/335/GCF_000380335.1_ASM38033v1,Azotobacter vinelandii CA,11
GCF_000696095.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/095/GCF_000696095.1_ASM69609v1,Agrobacterium rhizogenes NBRC 13257,11
GCF_000745735.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/745/735/GCF_000745735.1_ASM74573v1,Agrobacterium rhizogenes,11
GCF_000016285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/285/GCF_000016285.1_ASM1628v1,Agrobacterium vitis S4,11
GCF_000284375.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/375/GCF_000284375.1_ASM28437v1,Bradyrhizobium japonicum USDA 6,11
GCF_000018545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/545/GCF_000018545.1_ASM1854v1,Sinorhizobium fredii NGR234,11
GCF_000283895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/895/GCF_000283895.1_ASM28389v1,Sinorhizobium fredii HH103,11
GCF_000006965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/965/GCF_000006965.1_ASM696v1,Sinorhizobium meliloti 1021,11
GCF_000021345.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/345/GCF_000021345.1_ASM2134v1,Rhizobium leguminosarum bv. trifolii WSM2304,11
GCF_000517605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/605/GCF_000517605.1_ASM51760v1,Rhizobium leguminosarum bv. trifolii WSM1689,11
GCF_000745655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/745/655/GCF_000745655.1_ASM74565v1,Rhizobium leguminosarum,11
GCF_000330885.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/885/GCF_000330885.1_ASM33088v1,Rhizobium tropici CIAT 899,11
GCF_000731315.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/315/GCF_000731315.1_RG540_Ch_pA,Neorhizobium galegae bv. orientalis str. HAMBI 540,11
GCF_000617925.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/617/925/GCF_000617925.1_ASM61792v1,Methylobacillus glycogenes JCM 2850,11
GCF_000008325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/325/GCF_000008325.1_ASM832v1,Methylococcus capsulatus str. Bath,11
GCF_000427625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/625/GCF_000427625.1_ASM42762v1,Methylobacter luteus IMV-B-3098,11
GCF_000214665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/665/GCF_000214665.1_ASM21466v1,Methylomonas methanica MC09,11
GCF_000178815.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/815/GCF_000178815.2_ASM17881v2,Methylosinus trichosporium OB3b,11
GCF_002005445.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/445/GCF_002005445.1_ASM200544v1,Acetobacter aceti,11
GCF_000164395.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/395/GCF_000164395.1_ASM16439v1,Komagataeibacter hansenii ATCC 23769,11
GCF_000617865.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/617/865/GCF_000617865.1_ASM61786v1,Acidomonas methanolica NBRC 104435,11
GCF_000011685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/685/GCF_000011685.1_ASM1168v1,Gluconobacter oxydans 621H,11
GCF_000311765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/311/765/GCF_000311765.1_ASM31176v1,Gluconobacter oxydans H24,11
GCF_000008485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/485/GCF_000008485.1_ASM848v1,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,11
GCF_000953655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/655/GCF_000953655.1_LHA,Legionella hackeliae,11
GCF_000091785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/785/GCF_000091785.1_ASM9178v1,Legionella longbeachae NSW150,11
GCF_000953635.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/635/GCF_000953635.1_LMI,Tatlockia micdadei,11
GCF_001468165.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/468/165/GCF_001468165.1_ASM146816v1,Legionella spiritensis,11
GCF_001467625.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/467/625/GCF_001467625.1_ASM146762v1,Legionella feeleii,11
GCF_001467785.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/467/785/GCF_001467785.1_ASM146778v1,Legionella israelensis,11
GCF_001467765.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/467/765/GCF_001467765.1_ASM146776v1,Legionella jordanis,11
GCF_001468125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/468/125/GCF_001468125.1_ASM146812v1,Legionella rubrilucens,11
GCF_000236165.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/165/GCF_000236165.1_ASM23616v1,Fluoribacter dumoffii NY 23,11
GCF_900167045.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/167/045/GCF_900167045.1_IMG-taxon_2585428143_annotated_assembly,Legionella maceachernii,11
GCF_000746645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/645/GCF_000746645.1_ASM74664v1,Acinetobacter baumannii,11
GCF_001679005.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/679/005/GCF_001679005.1_ASM167900v1,Moraxella nonliquefaciens,11
GCF_000092265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/265/GCF_000092265.1_ASM9226v1,Moraxella catarrhalis BBH18,11
GCF_000006845.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/845/GCF_000006845.1_ASM684v1,Neisseria gonorrhoeae FA 1090,11
GCF_000196295.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/295/GCF_000196295.1_ASM19629v1,Neisseria lactamica 020-06,11
GCF_000008805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/805/GCF_000008805.1_ASM880v1,Neisseria meningitidis MC58,11
GCF_000186165.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/165/GCF_000186165.1_Neis_muco_C102_V1,Neisseria mucosa C102,11
